trial_ID,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,shape
1,1.0012440879012452,1.0025239259976688,0.9956669137198417,0.9681397486279686,1.0003520405697996,1.0031291267152782,0.9996605459517469,0.9770564145860623,1.0001497850964673,1.0008907666970674,0.9982139028959706,0.9923092462606091,round_right
2,1.0015551098765565,1.0025243507493011,0.9959985187112788,0.9668002942467908,1.0001748388491924,1.0027824274250179,1.0006778315303577,0.9775331955555749,1.000298768447682,1.0007419681692618,0.998362006005978,0.9946691181729667,round_right
3,1.0017114516974963,1.0026937618147447,0.9961617020935076,0.9670876949369792,1.0,1.0029560549379606,1.0008462259380944,0.9768305608843805,1.0,1.0005945351383434,0.998510729754101,0.9946698224580569,round_right
4,1.0015568057719917,1.002524063907325,0.9961605037933098,0.9685313150627942,1.0001750849507574,1.0026076282526237,1.0005081666617262,0.9790403409315113,1.00014989710453,1.0005947116256497,0.9994038483343406,0.9957041226441383,round_right
5,1.001868748782168,1.0028626013066788,0.9958262883520071,0.9664188091369589,1.0003526596995247,1.0029586257106122,1.0008476623591291,0.9768131335186936,1.0001490947997258,1.0005928607405592,0.9985101227453035,0.995113214837342,round_right
6,1.001556238690795,1.0023578985486374,0.9961561759787161,0.9685069798495941,1.0001752080595707,1.0027852624633853,1.0003393526000772,0.9797010778169315,1.0001499644152236,1.0005939626634663,0.9992543952056557,0.9962956206131718,round_right
7,1.0023362585172892,1.0026953290564702,0.994823326641847,0.9657709612468618,1.0005258084304618,1.0033077759302842,1.0005092881424988,0.9766404481802555,1.0,1.0008900621218757,0.9983615517041619,0.9949658762023937,round_right
8,1.0020233940556087,1.0025278235418735,0.9961582680795971,0.9675496777324903,1.0003527214883463,1.0033077759302842,1.0013578711974302,0.9773180026136901,1.000299081573864,1.0007419465352516,0.9988072664278859,0.9954092483616809,round_right
9,1.002024338099762,1.0025266138025537,0.9961556982505203,0.9617683110773378,1.0003527214883463,1.0033089261272277,1.00169820372501,0.9742520084399489,1.0001491393978834,1.0007411523042637,0.9988088963845261,0.9940807257595057,round_right
10,1.002180027265693,1.0033709693029693,0.995987800007262,0.9630415338394148,1.000528022061638,1.0033072826674465,1.0008495346673858,0.9757767674081822,1.0002991261787098,1.000742276822609,0.999105846451687,0.9945231283106069,round_right
11,1.001868665232539,1.0026959951393823,0.9951526579625821,0.9620559216193761,1.0001752694768207,1.0033067888907852,1.0016986735889208,0.9743985913942995,1.0001500092802353,1.000741482335781,0.9988074759648364,0.9945233609573233,round_right
12,1.001868957944607,1.0028653649271917,0.995653175080897,0.9614127043076416,1.0005282084047413,1.002958311081368,1.0008482737947177,0.9754139709267617,1.0004483997046834,1.000742607404161,0.9991062191663207,0.9952618338400753,round_right
13,1.0015569651156897,1.0030337668757143,0.9961534654165429,0.9626778239468622,1.0,1.002958311081368,1.0010187002745599,0.9760912790261924,1.0002991710504125,1.000741482335781,0.999106352287187,0.9952619168726526,round_right
14,1.001868957944607,1.0025271092712162,0.9944819835753108,0.9658939152058452,1.0,1.003134462685707,1.0001702247179058,0.9774523964408965,1.0001491840227301,1.000742717412259,0.9989567894932625,0.9957056091737305,round_right
15,1.0017120474398364,1.0026959951393823,0.9956500988889653,0.9655493947736746,1.0003529077988011,1.003134462685707,1.0006810147971745,0.9777843510355088,1.0002992156819532,1.0005944917197245,0.9995527764833207,0.996296758261468,round_right
16,1.0017120474398364,1.0026948402462441,0.9959817580718914,0.9652302097988115,1.0001776071928608,1.0031327876267082,1.0011904559084095,0.9772791444605232,1.0001492062819235,1.0007418126613519,0.9991055529666413,0.9952626104843136,round_right
17,1.0017120474398364,1.0028642667271115,0.995650661099513,0.9631286162318694,1.0001776071928608,1.0031355539441675,1.0020398255714917,0.9743694455358995,1.0001492062819235,1.0007418126613519,0.999254405173841,0.9957050366184321,round_right
18,1.0017120474398364,1.0028642667271115,0.9949802325157917,0.9607420256040279,1.0,1.0031355539441675,1.0011900504121534,0.9740272927547493,0.9998508159772699,1.0007418126613519,0.9988082224432262,0.9954097117577534,round_right
19,1.0021807068868875,1.0028642667271115,0.9951477438122094,0.9639619072467549,1.0001753313416308,1.0033090917962468,1.0013610571516205,0.9776148895536887,1.0,1.0007418126613519,0.999106327110113,0.9974803137415792,round_right
20,1.0015572090023266,1.0028642667271115,0.9956490401162955,0.9659011376514104,1.000350724176202,1.0033090917962468,1.0006795779373638,0.9786423066397112,1.0001492062819235,1.0008912520263802,0.9992552461681593,0.9973323122828697,round_right
21,1.001868001714383,1.0026982680788084,0.9948114096312068,0.963267617789045,0.9998246686583693,1.0029614019520852,1.0016990343004541,0.9751988758948031,1.0001492509468106,1.0007421432813697,0.9991055277445078,0.9957053878653253,round_right
22,1.0015561560334458,1.0026982680788084,0.9951448933234178,0.9636242090340129,1.0003507856907132,1.0031349701146162,1.0005093244737868,0.9767495314544362,1.0002993499103647,1.0008913841327534,0.9992549126990375,0.9954100678322254,round_right
23,1.0012443103525086,1.0021911833214465,0.9951440766246874,0.964426953423752,1.0001753928453567,1.0029596957769977,1.0008484512566886,0.9774392748764295,1.0002993499103647,1.0007421432813697,0.9992550238885872,0.9961486901771757,round_right
24,1.0017128469667247,1.0030347699697966,0.9966507991858118,0.9639108319525259,1.0003507856907132,1.0034839107675035,1.0022114174823533,0.9753735124216526,1.0001492509468106,1.0008905008839009,0.9991056601955325,0.9954089956172812,round_right
25,1.0020250099483607,1.0028661980398503,0.9948090921994444,0.9639106321805857,1.0003531562474033,1.0031360624993064,1.0015314066332515,0.9755339152158361,1.000149273225981,1.0007423633558885,0.9992544684854187,0.9968875210836741,round_right
26,0.9862225966016867,1.005401078565269,1.0011754173340561,1.0008262839180881,0.9924554437159478,1.0013942913980214,1.0006807351940095,1.0003477729242165,0.9994020589527464,1.0,1.0002986829727187,1.0,round_left
27,0.9851536377726777,1.0030327254147333,1.0011760094080753,1.0003295756568866,0.9921040912436633,1.0015677392134656,1.000680966246275,1.000520822944578,0.9994019696828319,1.0,1.0005975444217816,1.0001483539978493,round_left
28,0.9843812138493121,1.002021130184683,1.0013425599632777,1.0008273787138022,0.9921031485808758,1.0012191059889415,1.0005101910120995,1.0001728987810636,0.9988039393656638,0.9998516644568736,1.0002976400555281,1.0004451940861931,round_left
29,0.9820821625335902,1.0062437387400387,1.0020141744222206,1.0011581290039897,0.9921050141583567,1.0029610838499865,1.0010209028796722,1.0010427320467057,0.9997013641380749,1.0001483355431264,1.0004471819300842,1.000296840107949,round_left
30,0.977649431244861,1.0055676257302226,1.0016788174296207,1.0009927878022304,0.9903584666732789,1.0015680142853653,1.000681430277293,1.0003461581987347,0.9986550454452172,0.9998516644568736,1.0002989058164249,1.0002968841715136,round_left
31,0.9808631921824104,1.0043857479678817,1.0013436871099546,1.0006626124316136,0.9910565335068494,1.0019170407820994,1.000681661801724,1.0003484382420957,0.9992525619478524,1.0,1.0001494529082124,1.0002968841715136,round_left
32,0.9784059575694932,1.0052295692253148,1.001343460437021,1.0006626124316136,0.9907041791961009,1.001741552691965,1.000681430277293,1.0003484382420957,0.9989539260859274,1.0001483575498242,1.0002989058164249,1.0002968841715136,round_left
33,0.978717701297309,1.0052286854297539,1.001847823877381,1.001323947799734,0.9912303577321705,1.002439062316043,1.0006794087861657,1.0006948977190482,0.998804608154965,0.9998516644568736,1.0004484257431685,1.000148442085757,round_left
34,0.9773361457334612,1.0052295692253148,1.0016791006850567,1.0009936091984242,0.9908802592582334,1.001741854497384,1.0010194594941173,1.000695018074911,0.9985059722930398,1.0,1.000447315108774,1.0004454585068503,round_left
